session_id,case_id,ground_truth,frame_index,crop_sha256,qr_version,module_count,mask_pattern,version_band,payload_length_bin,payload_utf8_bytes,crop_width,crop_height,observed_pixels_per_module,qr_coverage,quadrilateral_side_ratio,exposure_compensation_supported,exposure_compensation_ev,exposure_adjusted_during_session,raw_quality_status,raw_quality_conditions,raw_mean_luminance,raw_p05_luminance,raw_p95_luminance,raw_dynamic_range,raw_laplacian_variance,raw_dark_fraction,raw_bright_fraction,structural_quality_status,structural_mean_luminance,structural_dynamic_range,structural_laplacian_variance,structural_dark_fraction,structural_bright_fraction,payload_decode_status,payload_hash_matches,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,risk_score
a223bb3c0bc1b96ea7e37c7d,R7B-07-B1579A,clean,0,f2ecea803a744a97b848bc3872c4c9bbea54c280e839c9c535d0fda59188a315,3,29,0,low_v1_v3,short_1_32,24,463,463,15.96551724137931,0.10329264322916666,1.0516631831040337,True,0.0,False,usable,normal,155.72951885354567,38.623999999999995,216.42399999999998,177.79999999999998,537.3394060505138,1.992984693877551e-05,0.0,usable,156.9529975087552,178.73499999999999,544.7946768800253,1.992984693877551e-05,0.0,decoded,True,usable,normal,0.0022235512733459473,0.0022235512733459473,clean,safe,1
a223bb3c0bc1b96ea7e37c7d,R7B-07-B1579A,clean,1,acd2311f699d9ab59cdc61f3e8937ff93f8cbe2abd8398c24bf497fb0c4c7779,3,29,0,low_v1_v3,short_1_32,24,536,536,18.482758620689655,0.13854532877604167,1.0372883045556835,True,0.0,False,usable,normal,140.76375964602002,30.982999999999997,204.648,173.665,3256.8288226918853,0.0004384566326530612,0.0,usable,141.15562900589947,174.24099999999999,3279.030001174348,0.0004384566326530612,0.0,decoded,True,usable,normal,0.47312605381011963,0.47312605381011963,clean,safe,19
a223bb3c0bc1b96ea7e37c7d,R7B-07-B1579A,clean,2,57346104425e1d3c5ceb22b0abc97247bf4ed7853fb41db663829de689cc7759,3,29,0,low_v1_v3,short_1_32,24,541,541,18.655172413793103,0.14083414713541667,1.0441613367226532,True,0.0,False,usable,normal,165.09556640622773,54.086,228.239,174.15300000000002,2720.0574442382963,0.0,0.0,usable,165.7150782246292,174.914,2730.130236219484,0.0,0.0,decoded,True,usable,normal,0.15806937217712402,0.15806937217712402,clean,safe,3
a223bb3c0bc1b96ea7e37c7d,R7B-07-B1579A,clean,3,ba7ba797ddf15a92db71e3419f10f40df2f3e2b98dc1d7f2b2c4b330851f84de,3,29,0,low_v1_v3,short_1_32,24,529,529,18.24137931034483,0.134678955078125,1.0529025176399613,True,0.0,False,usable,normal,174.01720172989215,75.83425000000001,228.97899999999998,153.14475,2180.2307847951997,0.0,3.985969387755102e-05,usable,174.4941594985631,153.43275,2190.341744997333,0.0,3.985969387755102e-05,decoded,True,usable,normal,0.7699313759803772,0.7699313759803772,adversarial,blocked,76
a223bb3c0bc1b96ea7e37c7d,R7B-07-B1579A,clean,4,57213f9381a09f88d85411dafd256377869039dc0e94df786f9e7d2459be7a7f,3,29,0,low_v1_v3,short_1_32,24,541,541,18.655172413793103,0.14089396158854167,1.0618060980329609,True,0.0,False,usable,normal,174.73397907366308,78.417,228.53799999999998,150.12099999999998,2288.0069396423405,0.0,0.0,usable,174.89991615511695,150.36175,2286.4102780816997,0.0,1.992984693877551e-05,decoded,True,usable,normal,0.17163002490997314,0.17163002490997314,clean,safe,3
4196057098f61ca6d97ab5d6,R7B-08-551C47,tampered,0,7ca6bbb1769e112258ce8330aa3efebf8481ab461654f0666bef624d58a7e2b2,3,29,2,low_v1_v3,short_1_32,24,420,420,14.482758620689655,0.08477335611979167,1.0700906794133072,True,0.0,False,usable,normal,170.33225524150365,69.26675,227.467,158.20025,1916.1453894200497,0.0,0.0,usable,170.7272008330822,158.66899999999998,1920.7203435827405,0.0,0.0,decoded,True,usable,normal,0.9956840872764587,0.9956840872764587,tampered,blocked,90
4196057098f61ca6d97ab5d6,R7B-08-551C47,tampered,1,6d9df2922d1936de1c5860aef3c551f9e361861efed5cc67c6ff3bd38db2f752,3,29,2,low_v1_v3,short_1_32,24,419,419,14.448275862068966,0.0845068359375,1.0636774587760691,True,0.0,False,usable,normal,136.8039359852695,26.527,203.424,176.897,2359.1657697894116,0.021643813775510203,0.0,usable,137.16608705357302,177.413,2375.146704138231,0.021643813775510203,0.0,decoded,True,usable,normal,0.9936092495918274,0.9936092495918274,tampered,blocked,89
4196057098f61ca6d97ab5d6,R7B-08-551C47,tampered,2,549d11aa01afc385baaaf28ede84fd3e4511127377b4cc4da298539728362997,3,29,2,low_v1_v3,short_1_32,24,457,457,15.758620689655173,0.10055826822916666,1.0765419038556072,True,0.0,False,usable,normal,139.60558374519064,28.238999999999997,202.712,174.47299999999998,2313.347654400518,0.005002391581632653,0.0,usable,140.1323360769748,175.23399999999998,2333.250788138757,0.005002391581632653,0.0,decoded,True,usable,normal,0.9931899309158325,0.9931899309158325,tampered,blocked,89
4196057098f61ca6d97ab5d6,R7B-08-551C47,tampered,3,0094f8ba10f1d4fc186c4582ff6f2aad7a8af7d79e139995ed8ed6073748e91b,3,29,2,low_v1_v3,short_1_32,24,431,431,14.862068965517242,0.08929443359375,1.068306888517964,True,0.0,False,usable,normal,175.0410689971354,74.44725000000001,228.53799999999998,154.09074999999996,1961.4783036813124,0.0,0.0,usable,175.6640444236222,154.284,1974.4408150884494,0.0,0.0,decoded,True,usable,normal,0.9959237575531006,0.9959237575531006,tampered,blocked,90
4196057098f61ca6d97ab5d6,R7B-08-551C47,tampered,4,eddb8b63de34ec349421827bb4565d0da86a21effdab871a651eda4bf5115f96,3,29,2,low_v1_v3,short_1_32,24,438,438,15.10344827586207,0.09228312174479167,1.067262706795742,True,0.0,False,usable,normal,175.25641677295945,74.27924999999999,230.538,156.25875000000002,1920.4646045240127,0.0,0.0,usable,175.92837358496917,156.44249999999997,1928.443730016659,0.0,1.992984693877551e-05,decoded,True,usable,normal,0.9972826242446899,0.9972826242446899,tampered,blocked,90
